Country,GDP per Capita,Family,Healthy,Freedom,Genereousity,Perceptions of Corruptions
Albania,1.39651,1.34951,0.94143,0.66557,0.29678,0.03411
Armenia,1.30232,1.40223,0.94784,0.62877,0.4363,0.04884
Austria,1.32548,1.36058,0.87464,0.64938,0.34139,0.03328
Azerbaijan,1.459,1.33095,0.88521,0.66973,0.34699,0.0388
Belarus,1.29025,1.31826,0.88911,0.64169,0.23351,0.0314
Belgium,1.32944,1.28017,0.89284,0.61576,0.4761,0.02799
Bosnia and Herzegovina,1.33171,1.28907,0.91087,0.6598,0.36262,0.03157
Bulgaria,1.33723,1.29704,0.89042,0.62433,0.33088,0.03751
Croatia,1.56391,1.21963,0.91894,0.61583,0.28034,0.03499
Cyprus,1.33596,1.36948,0.89533,0.61777,0.45901,0.03676
Czech Republic,1.30782,1.28566,0.89667,0.5845,0.2225,0.03595
Denmark,1.26637,1.28548,0.90943,0.59625,0.51912,0.01866
Estonia,1.32792,1.29937,0.89186,0.61477,0.28214,0.01848
Finland,1.27778,1.26038,0.94579,0.55011,0.12332,0.03512
France,1.17898,1.20643,0.84483,0.46364,0.10686,0.04168
Georgia,1.23011,1.31379,0.95562,0.45951,0.18227,0.03468
Germany,1.2074,1.30203,0.88721,0.60365,0.51752,0.04206
Greece,0.63244,1.34043,0.59772,0.65821,0.22837,0.04361
Hungary,1.16891,1.26999,0.78902,0.31751,0.16893,0.04267
Iceland,1.25114,1.19777,0.95446,0.26236,0.22823,0.03914
Ireland,0.59448,1.01528,0.61826,0.32818,0.20951,0.03799
Italy,1.12254,1.12241,0.64368,0.51649,0.11827,0.04114
Kazakhstan,1.18498,1.27385,0.87337,0.60855,0.25328,0.04251
Kosovo,1.14723,1.25745,0.73128,0.21342,0.02641,0.03843
Kyrgyzstan,1.03192,1.23289,0.73608,0.37938,0.11046,0.03938
Latvia,1.12555,1.27948,0.77903,0.53122,0.16759,0.04263
Lithuania,1.08254,0.79624,0.78805,0.25883,0.05444,0.04394
Luxembourg,1.13764,1.23617,0.66926,0.36679,0.00199,0.03135
Macedonia,1.20806,1.07008,0.92356,0.49027,0.26169,0.05635
Malta,1.20813,0.89318,0.92356,0.40672,0.30638,0.0558
Moldova,0.80148,0.81198,0.63132,0.24749,0.2831,0.05018
Montenegro,0.95847,1.22668,0.53886,0.4761,0.16979,0.04175
Netherlands,1.15174,1.22791,0.77361,0.44888,0.0868,0.04013
North Cyprus,0.47428,1.15115,0.65088,0.43477,0.3003,0.03823
Norway,1.02389,0.93793,0.64045,0.3703,0.07799,0.03363
Poland,0.97438,0.90557,0.72521,0.1826,0.1614,0.05235
Portugal,1.04345,0.88588,0.7689,0.35068,0.13748,0.06607
Romania,0.92053,1.00964,0.74836,0.20107,0.19231,0.04864
Russia,1.15991,1.13935,0.87519,0.51469,0.13719,0.04802
Serbia,1.11312,1.09562,0.72437,0.29671,0.18226,0.0464
Slovakia,0.91851,1.00232,0.73545,0.33457,0.22359,0.05376
Slovenia,0.87867,0.80434,0.81325,0.35733,0.14272,0.05013
Spain,0.83223,0.91916,0.79081,0.09245,0.24808,0.06913
Sweden,1.15406,0.92933,0.88213,0.07699,0,0.05062
Switzerland,1.12094,1.20215,0.75905,0.32112,0.128,0.06107
Tajikistan,0.39047,0.85563,0.57379,0.47216,0.22974,0.03198
Turkmenistan,0.79907,1.20278,0.6739,0.25123,0.15275,0.04412
Ukraine,0.76821,0.77711,0.7299,0.19847,0.07855,0.04763
United Kingdom,0.7419,0.38562,0.72926,0.40577,0.05547,0.04221
Uzbekistan,1.01216,1.10614,0.76649,0.30587,0.11921,0.04828
