Country,GDP per Capita,Family(Social Sup),Health (Life Expectancy),Freedom,Generosity,Perceptions of corruption
Albania,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301
Armenia,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616
Austria,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
Azerbaijan,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914
Belarus,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457
Belgium,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
Bosnia and Herzegovina,0.93383,0.64367,0.70766,0.09511,0.29889,0
Bulgaria,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615
Croatia,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002
Cyprus,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228
Czech Republic,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986
Denmark,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453
Estonia,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519
Finland,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004
France,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808
Georgia,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188
Germany,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551
Greece,1.24886,0.75473,0.80029,0.05822,0,0.04127
Hungary,1.24142,0.93164,0.67608,0.1977,0.099,0.04472
Iceland,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975
Ireland,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754
Italy,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556
Kazakhstan,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132
Kosovo,0.90145,0.66062,0.54,0.14396,0.27992,0.06547
Kyrgyzstan,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762
Latvia,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889
Lithuania,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182
Luxembourg,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329
Macedonia,1.0193,0.78236,0.64738,0.27668,0.23507,0.07047
Malta,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554
Moldova,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903
Montenegro,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721
Netherlands,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927
North Cyprus,1.31141,0.81826,0.84142,0.43596,0.26322,0.16578
Norway,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776
Poland,1.24585,1.04685,0.69058,0.4519,0.14443,0.055
Portugal,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521
Romania,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679
Russia,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586
Serbia,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339
Slovakia,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947
Slovenia,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635
Spain,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137
Sweden,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867
Switzerland,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203
Tajikistan,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509
Turkmenistan,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467
Ukraine,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829
United Kingdom,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399
Uzbekistan,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333
