Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Albania,0.947,0.848,0.874,0.383,0.178,0.027
Armenia,0.85,1.055,0.815,0.283,0.095,0.064
Austria,1.376,1.475,1.016,0.532,0.244,0.226
Azerbaijan,1.043,1.147,0.769,0.351,0.035,0.182
Belarus,1.067,1.465,0.789,0.235,0.094,0.142
Belgium,1.356,1.504,0.986,0.473,0.16,0.21
Bosnia and Herzegovina,0.945,1.212,0.845,0.212,0.263,0.006
Bulgaria,1.092,1.513,0.815,0.311,0.081,0.004
Croatia,1.155,1.266,0.914,0.296,0.119,0.022
Cyprus,1.263,1.223,1.042,0.406,0.19,0.041
Czech Republic,1.269,1.487,0.92,0.457,0.046,0.036
Denmark,1.383,1.573,0.996,0.592,0.252,0.41
Estonia,1.237,1.528,0.874,0.495,0.103,0.161
Finland,1.34,1.587,0.986,0.596,0.153,0.393
France,1.324,1.472,1.045,0.436,0.111,0.183
Georgia,0.886,0.666,0.752,0.346,0.043,0.164
Germany,1.373,1.454,0.987,0.495,0.261,0.265
Greece,1.181,1.156,0.999,0.067,0,0.034
Hungary,1.201,1.41,0.828,0.199,0.081,0.02
Iceland,1.38,1.624,1.026,0.591,0.354,0.118
Ireland,1.499,1.553,0.999,0.516,0.298,0.31
Italy,1.294,1.488,1.039,0.231,0.158,0.03
Kazakhstan,1.173,1.508,0.729,0.41,0.146,0.096
Kosovo,0.882,1.232,0.758,0.489,0.262,0.006
Kyrgyzstan,0.551,1.438,0.723,0.508,0.3,0.023
Latvia,1.187,1.465,0.812,0.264,0.075,0.064
Lithuania,1.238,1.515,0.818,0.291,0.043,0.042
Luxembourg,1.609,1.479,1.012,0.526,0.194,0.316
Macedonia,0.274,0.916,0.555,0.148,0.169,0.041
Malta,1.3,1.52,0.999,0.564,0.375,0.151
Moldova,0.685,1.328,0.739,0.245,0.181,0
Montenegro,1.051,1.361,0.871,0.197,0.142,0.08
Netherlands,1.396,1.522,0.999,0.557,0.322,0.298
North Cyprus,0.983,1.294,0.838,0.345,0.185,0.034
Norway,1.488,1.582,1.028,0.603,0.271,0.341
Poland,1.206,1.438,0.884,0.483,0.117,0.05
Portugal,1.221,1.431,0.999,0.508,0.047,0.025
Romania,1.162,1.232,0.825,0.462,0.083,0.005
Russia,1.183,1.452,0.726,0.334,0.082,0.031
Serbia,1.004,1.383,0.854,0.282,0.137,0.039
Slovakia,1.246,1.504,0.881,0.334,0.121,0.014
Slovenia,1.258,1.523,0.953,0.564,0.144,0.057
Spain,1.286,1.484,1.062,0.362,0.153,0.079
Sweden,1.387,1.487,1.009,0.574,0.267,0.373
Switzerland,1.452,1.526,1.052,0.572,0.263,0.343
Tajikistan,0.493,1.098,0.718,0.389,0.23,0.144
Turkmenistan,1.052,1.538,0.657,0.394,0.244,0.028
Ukraine,0.82,1.39,0.739,0.178,0.187,0.01
United Kingdom,1.333,1.538,0.996,0.45,0.348,0.278
Uzbekistan,0.745,1.529,0.756,0.631,0.322,0.24
