Country,1992,1997,2002,2007,2013,,,,,,
Albania,11.44,7.618,11.602,13.039,13.538,,,,,,
Andorra,9.904,11.166,10.787,12.423,9.97,,,,,,
Armenia,7.548,8.529,7.483,6.363,10.492,,,,,,
Azerbaijan,9.532,11.041,9.523,9.004,12.104,,,,,,
Belarus,5.363,4.174,8.081,6.68,6.9,,,,,,
Belgium,8.906,8.228,9.742,13.377,8.743,,,,,,
Bosnia And Herzegovina,10.555,6.368,10.219,12.692,12.403,,,,,,
Croatia,11.757,8.075,11.141,14.143,13.086,,,,,,
Cyprus,16,14.739,16.624,16.417,17.935,,,,,,
Czech Republic,7.76,5.203,7.931,10.864,8.741,,,,,,
Denmark,-23.808,-21.036,-22.184,-20.279,-20.195,,,,,,
Estonia,3.339,2.721,5.83,5.298,3.424,,,,,,
Finland,-2.082,-2.272,2.563,1.813,0.458,,,,,,
France,12.162,12.522,12.912,15.478,12.32,,,,,,
Georgia,6.737,7.294,6.511,5.416,9.558,,,,,,
Greece,13.059,9.887,12.809,13.952,15.167,,,,,,
Greenland,-24.429,-21.594,-22.799,-20.894,-20.73,,,,,,
Hungary,11.154,7.123,10.7,12.576,12.229,,,,,,
Iceland,-0.518,0.644,1.306,2.161,-1.738,,,,,,
Ireland,8.237,9.876,9.073,10.948,7.798,,,,,,
Isle Of Man,7.582,8.302,8.168,10.105,6.483,,,,,,
Italy,11.322,9.869,11.754,14.122,12.642,,,,,,
Kosovo,9.14,8.314,12.91,11.154,10.548,,,,,,
Liechtenstein,4.243,2.936,4.681,9.155,5.521,,,,,,
Lithuania,5.008,3.86,7.549,6.544,5.146,,,,,,
Luxembourg,8.562,7.898,9.314,13.289,8.772,,,,,,
Macedonia,10.125,5.69,9.792,11.51,12.28,,,,,,
Moldova,9.172,6.559,9.757,9.827,11.56,,,,,,
Montenegro,9.634,5.64,10.113,11.741,11.911,,,,,,
Netherlands,8.668,7.648,9.339,12.581,8.005,,,,,,
Norway,-1.962,-3.299,1.167,0.007,-1.907,,,,,,
Poland,7.568,5.243,8.598,9.511,8.173,,,,,,
Portugal,14.236,16.722,13.673,13.961,13.642,,,,,,
Romania,9.695,5.584,9.321,10.126,11.284,,,,,,
Russia,-6.49,-1.168,-4.569,-1.383,-2.986,,,,,,
San Marino,12.455,9.992,12.292,15.291,13.745,,,,,,
Serbia,10.752,6.014,10.19,12.004,12.453,,,,,,
Slovakia,7.984,4.568,8.137,9.759,9.295,,,,,,
Slovenia,10.02,7.25,9.465,13.135,11.225,,,,,,
Spain,12.656,14.363,12.516,12.799,12.188,,,,,,
Sweden,-0.069,-0.083,3.724,3.684,1.059,,,,,,
Switzerland,6.557,6.032,7.144,11.617,7.225,,,,,,
Turkey,10.133,8.085,9.812,8.762,12.102,,,,,,
Ukraine,7.503,5.795,9.014,8.413,10.217,,,,,,
United Kingdom,7.61,8.253,8.422,10.263,6.789,,,,,,
