COUNTRY,1997,2001,2005,2009,2013
Albania,12604,10223,9150,7916,3020
Azerbaijan,92480,196674,132847,70237,99593
Armenia,20427,16327,14435,5038,31758
Belgium,8265,2547,2021,1187,948
Bosnia and Herzegovina,21238,15199,9221,10678,5451
Bulgaria,99446,460175,107130,52503,84169
Croatia,21185,28715,17707,24358,2990
Cyprus,1597,5324,2868,294,3280
Czech Republic,9972,3840,2933,5789,2709
Denmark,3521,2471,3157,1901,1849
Estonia,5682,608,889,169,636
Finland,4372,2289,3578,934,2495
France,74470,50265,59978,43312,26386
Georgia,21501,64495,35914,8231,13591
Greece,82560,133957,43936,64469,69356
Greenland,274,120,0,83,0
Hungary,35981,105904,40121,26868,9774
Iceland,1740,0,0,18,0
Ireland,2860,1458,562,198,797
Italy,170620,197649,99404,98179,102449
Lithuania,17219,5415,25249,5112,5821
Luxembourg,1856,584,180,49,208
Republic of Moldova,30340,97731,53329,35849,25295
Montenegro,4581,3931,671,1301,2069
Netherlands,14923,2837,2433,1934,2757
Norway,3626,1432,2287,485,1179
Poland,26555,21089,25048,9998,8072
Romania,175043,436808,219450,141534,121341
Russian Federation,11599786,14439422,12498145,12296789,6335065
Serbia,66762,55337,34032,103217,29415
Slovakia,5618,9465,9319,2717,2328
Slovenia,1155,1171,1125,321,1060
Spain,223433,177146,212577,132059,110380
Sweden,8442,2245,3217,3336,2226
Switzerland,1102,597,252,375,515
Turkey,271290,469934,377177,1218410,529625
Ukraine,1233054,2365365,2174191,1772295,566259
United Kingdom of Great Britain and Northern Ireland,40720,8581,8824,7372,6786
Isle of Man,3,0,0,0,0
Kosovo,4339,2693,3048,2458,6158
